name,birth_date,event_year,event_type,age,prog_sun,prog_moon,natal_sun,natal_moon,sun_movement,moon_movement,mercury_movement,venus_movement,mars_movement,sun_sign_change,moon_sign_change,mercury_sign_change,venus_sign_change,mars_sign_change,hard_aspects,soft_aspects
Richard Nixon,1913-01-09,1940,marriage,27,316.51198086337297,312.9568729433898,289.05884414274294,316.12746780870185,27.453136720630027,356.82940513468793,41.77210262063801,30.000200877348277,20.26392612128234,True,False,True,True,True,7,2
Richard Nixon,1913-01-09,1952,career,39,328.64601512197294,103.78717717423433,289.05884414274294,316.12746780870185,39.587170979229995,147.65970936553248,63.130094050385026,42.145325302281094,29.402327358415846,True,True,True,True,True,6,8
Richard Nixon,1913-01-09,1968,career,55,344.7226204606842,321.80193262463945,289.05884414274294,316.12746780870185,55.663776317941256,5.674464815937597,91.93862212546492,56.26854118098902,41.68330150018386,True,False,True,True,True,6,6
Richard Nixon,1913-01-09,1974,crisis,61,350.72061283200554,33.54462623668093,289.05884414274294,316.12746780870185,61.6617686892626,77.41715842797907,99.36017399673631,60.665070807298605,46.310787157210825,True,True,True,True,True,2,9
Richard Nixon,1913-01-09,1994,death,81,10.561349941458348,306.76985150362293,289.05884414274294,316.12746780870185,81.50250579871539,350.6423836949211,94.25236358796627,69.23350481653915,61.780099599586094,True,False,True,True,True,6,5
Ronald Reagan,1911-02-06,1937,career,26,342.4800208332382,22.92058782873502,316.2710173694538,40.22535952898783,26.209003463784427,342.6952282997472,37.56362606292595,32.31804973923494,18.951970962250243,True,True,True,True,False,5,4
Ronald Reagan,1911-02-06,1940,marriage,29,345.4845197712364,65.2325347982158,316.2710173694538,40.22535952898783,29.213502401782648,25.007175269227965,42.68650854330701,36.023672553074846,21.158208410529596,True,True,True,True,False,5,5
Ronald Reagan,1911-02-06,1948,divorce,37,353.4701163395831,175.63544484552799,316.2710173694538,40.22535952898783,37.19909897012934,135.41008531654015,57.16996497279865,45.873206073359654,27.057781044244564,True,True,True,True,True,2,5
Ronald Reagan,1911-02-06,1952,marriage,41,357.449275576684,225.6675124387879,316.2710173694538,40.22535952898783,41.178258207230215,185.44215290980006,64.86717347892306,50.779324019469925,30.016507442632644,True,True,True,True,True,9,2
Ronald Reagan,1911-02-06,1966,career,55,11.312997699844834,46.95775172636008,316.2710173694538,40.22535952898783,55.041980330391084,6.732392197372249,92.8726032692856,67.84932737726524,40.41168685494341,True,False,True,True,True,12,3
Ronald Reagan,1911-02-06,1980,career,69,25.061889044660973,233.78729959171903,316.2710173694538,40.22535952898783,68.7908716752072,193.5619400627312,113.29315080667925,84.72874619749285,50.84017748110131,True,True,True,True,True,7,3
Ronald Reagan,1911-02-06,2004,death,93,48.394756286075136,193.9849327370348,316.2710173694538,40.22535952898783,92.12373891662139,153.75957320804696,110.18540842716524,113.10265659195818,68.71429207640097,True,True,True,True,True,7,7
Bill Clinton,1946-08-19,1978,career,32,176.78575563136536,114.00097329978867,145.76136217436994,46.79474751566612,31.024393456995426,67.20622578412255,53.94604144717199,31.533792292757113,20.90068547512945,True,True,True,True,False,6,3
Bill Clinton,1946-08-19,1975,marriage,29,173.85556066125176,71.86489020536531,145.76136217436994,46.79474751566612,28.094198486881822,25.070142689699196,48.55812170124632,28.88337489341967,18.896063895639287,True,True,True,True,False,5,5
Bill Clinton,1946-08-19,1980,child,34,178.74226516240296,141.61165456101372,145.76136217436994,46.79474751566612,32.98090298803302,94.8169070453476,57.45450962323763,33.250604969975086,22.242438265027317,True,True,True,True,False,9,5
Bill Clinton,1946-08-19,1992,career,46,190.52758577900724,291.06114515618543,145.76136217436994,46.79474751566612,44.766223604637304,244.2663976405193,77.18971185516806,42.49244217579539,30.38096103159387,True,True,True,True,True,9,3
Bill Clinton,1946-08-19,1998,crisis,52,196.44759105621128,9.880788829532028,145.76136217436994,46.79474751566612,50.686228881841345,323.0860413138659,86.29760360234799,46.214439803898046,34.50496699936977,True,True,True,True,True,9,3
Barack Obama,1961-08-04,1992,marriage,31,162.00408587154854,104.32469487269802,132.1488216831599,58.04817203475016,29.855264188388645,46.27652283794786,58.2948787121242,36.038675946426295,19.749559510034004,True,True,True,True,True,5,5
