name,birth_date,death_date,age_at_death,cause,sun_sign,sun_element,sun_saturn_hard,moon_saturn_hard,mars_sign,sun_neptune_aspect,cos_return_Sun,angle_return_Sun,cos_return_Moon,angle_return_Moon,cos_return_Mercury,angle_return_Mercury,cos_return_Venus,angle_return_Venus,cos_return_Mars,angle_return_Mars,cos_return_Jupiter,angle_return_Jupiter,cos_return_Saturn,angle_return_Saturn,cos_return_Uranus,angle_return_Uranus,cos_return_Neptune,angle_return_Neptune,cos_return_Pluto,angle_return_Pluto,cos_return_North Node,angle_return_North Node,birth_doy,death_doy,days_from_birthday
Bobby Driscoll,1937-03-03 12:00:00,1968-03-30,31.071868583162217,overdose,Pisces,Water,False,False,Scorpio,False,0.8882792347289096,27.34219354547082,-0.9062015785755386,154.98560483947043,0.9225816741300791,22.693528074707103,0.7915332908863807,322.3290316544911,-0.9072028311111983,155.12162104421125,-0.8017605981006984,216.7014424860479,0.9336190892361779,20.993817741913688,-0.7662576478019483,140.01900805783833,0.3662055688761435,68.51820568277267,0.583766757934725,54.28408518757642,-0.4843141330609569,118.96754604347251,62,90,28
Brad Renfro,1982-07-25 12:00:00,2008-01-15,25.472963723477072,overdose,Leo,Fire,False,False,Libra,False,-0.9914222311832491,172.4900727835315,-0.9644530590270285,195.3226436130414,-0.9874241954164037,189.09623573557926,-0.9581748291973727,163.37039483648886,-0.49028066711175405,240.64096932230143,0.42663146959244924,64.74602610991812,0.7804535939116418,321.3021248127066,-0.26248360029668294,105.21748137762759,0.559083427336555,56.00756568984309,0.41609216060704685,65.41188611446242,-0.678517505179941,227.27209599308975,206,15,174
Jonathan Brandis,1976-04-13 12:00:00,2003-11-12,27.578370978781656,suicide,Aries,Fire,True,False,Cancer,False,-0.8988413326601468,205.99381891667988,-0.21796298791341498,257.4105824093831,-0.9129405391347927,204.08507124966022,-0.4129008136477881,245.6128098884487,-0.5036857674082776,239.75585052296097,-0.6509749948035994,130.61515269903825,0.9730771380812641,346.67468579258554,-0.3953566840605981,113.28822138701881,0.5480743678760465,56.76499340019231,0.36336018377867635,68.69329959676904,-0.9934995663321969,186.53648599717633,104,316,153
Lee Thompson Young,1984-02-01 12:00:00,2013-08-19,29.544147843942504,suicide,Aquarius,Air,True,False,Scorpio,False,-0.9665783406303365,194.85486417370825,0.9996428399125917,358.46862336190827,-0.8508126020593197,211.69983724736105,-0.08469056940464707,265.1417683575526,-0.27554544030759426,254.00547852743426,-0.9875660000137285,189.04469845520146,0.9857401659197348,350.31248692818565,-0.49169500028553215,119.45205003239096,0.44247265489558224,63.738247014003605,0.38904322476454295,67.10502085432506,-0.8529190715927717,148.53059754712842,32,231,166
Corey Haim,1971-12-23 12:00:00,2010-03-10,38.209445585215605,disease,Capricorn,Earth,False,False,Pisces,False,0.19421110004811062,78.80135805483371,0.6498777260128187,310.5323835736147,-0.07135611875039442,94.09188190572428,0.44741575485792573,63.42199803969078,-0.5355054691203665,122.37819757853069,0.1441832047606846,81.71001674560011,-0.5188603617144384,121.25583781847665,-0.9291458159645999,158.30205244295848,0.11807252581857319,83.2191244086487,-0.05597454175269464,93.20878209138758,0.9450920934448885,340.9250868718857,357,69,77
Andrew Koenig,1968-08-17 12:00:00,2010-02-14,41.492128678986994,suicide,Leo,Fire,False,False,Leo,True,-0.9998280571385728,181.06251709985824,-0.17605822457263895,259.8597538866804,-0.8774548017819841,151.33684545258734,-0.9929064544814509,173.17148341294003,0.9980843303641562,356.4529501441852,-0.9959282420114484,174.82779082006638,-0.929211979055204,158.31230827346263,-0.9989996010141333,177.43693002024946,-0.040851130230237544,92.34124884383294,-0.22656718322599098,103.0950513010925,0.12945513203902737,277.4381076255882,230,45,180
Dana Plato,1964-11-07 12:00:00,1999-05-08,34.49418206707735,overdose,Scorpio,Water,False,False,Virgo,True,-0.9991627289756313,182.34477388027256,0.5852506975149663,54.17929738451119,-0.8724671293138547,150.74661396952484,-0.1528158208061969,261.2098570733717,0.5238986322832906,58.405870727020385,0.8485648674977734,328.05591788004114,0.345473989213984,69.78926749125327,-0.8886720315815471,152.70684642703932,0.22671800203121742,76.89607654669979,0.1072241120127042,83.84467763606517,0.6048232012283382,52.783879357161624,312,128,181
Gary Coleman,1968-02-08 12:00:00,2010-05-28,42.29705681040383,disease,Aquarius,Air,False,False,Pisces,True,-0.313442244121633,108.26679908145385,-0.998448061110423,183.19250157969753,0.3367584241536068,70.32049766355624,-0.9953434742201905,174.46857146936998,-0.8801952732639046,151.66592809457447,-0.8965054485185494,206.29754056183108,-0.981744908071048,169.0354064195758,-0.9997235564844424,181.34725821128785,-0.03960108218334614,92.26956834385561,-0.21548211199038478,102.44381328402858,-0.14142172108436454,261.8698765294163,39,148,109
Dustin Diamond,1977-01-07 12:00:00,2021-02-01,44.06570841889117,cancer,Capricorn,Earth,False,True,Capricorn,False,0.9006324883296299,25.75867005337267,0.6462333732303917,49.74178733683465,0.7451098292078472,41.83146670768667,0.8348735981300012,326.60267866141345,-0.6152001498974475,127.96646497611246,-0.19261639182246545,258.8944866376278,-0.9845388476516258,169.91165999661058,-0.9972430353057569,175.74447583628813,-0.07691768335650459,94.41141583887034,-0.19180759452649182,101.05829217609576,-0.6736674680602908,227.64924325471503,7,32,25
Anissa Jones,1958-03-11 12:00:00,1976-08-28,18.46406570841889,overdose,Pisces,Water,True,False,Capricorn,False,-0.9654126447706591,164.8868121838798,0.6157982947517138,308.00994873159163,-0.9964545574881633,184.82615483994348,-0.6882501206638916,226.50825011711882,-0.3913280096281782,246.96284269425212,-0.8693521099067119,209.61656243266557,-0.7057071399917032,225.1132988355825,0.07039281951745525,85.96345022377906,0.8013337916897723,36.74234049660183,0.7703827037260902,39.6117322398504,0.998783149635338,2.8268337491220166,70,241,171
