name,profession,north_node_lon,south_node_lon,sun_lon,moon_lon,north_node_sign,north_node_sign_id,nn_house_from_sun_equal,nn_house_from_moon_equal,sn_house_from_sun_equal,sn_house_from_moon_equal,nn_house_from_sun_whole,nn_house_from_moon_whole,sn_house_from_sun_whole,sn_house_from_moon_whole
George W. Bush,politician,80.58012041952443,260.5801204195244,103.61976916860554,194.65409499255898,Gemini,2,12,9,6,3,12,9,6,3
Dwight D. Eisenhower,politician,75.97190548961245,255.97190548961245,201.3628899399993,210.88023103793114,Gemini,2,8,8,2,2,9,8,3,2
Harry S. Truman,politician,203.0649457925268,23.064945792526828,48.41593668199447,212.02645229052945,Libra,6,6,12,12,6,6,12,12,6
Lyndon B. Johnson,politician,93.38188613408215,273.38188613408215,153.5018626591196,156.23672911130268,Cancer,3,10,10,4,4,11,11,5,5
Gerald Ford,politician,356.5917691273208,176.59176912732073,110.9625835191234,240.6108319031158,Pisces,11,9,4,3,10,9,4,3,10
Woodrow Wilson,politician,11.105207875642769,191.10520787564278,277.0561106610414,291.17141016591245,Aries,0,4,3,10,9,4,4,10,10
Winston Churchill,politician,25.848638832284667,205.84863883228468,247.719224365842,149.61568407591162,Aries,0,5,8,11,2,5,9,11,3
Margaret Thatcher,politician,121.52378492847386,301.52378492847384,199.5019956584267,148.63173501305906,Leo,4,10,12,4,6,11,1,5,7
Tony Blair,politician,306.9030187994971,126.90301879949709,45.415285799887904,312.0739846026546,Aquarius,10,9,12,3,6,10,1,4,7
David Cameron,politician,46.588680423797726,226.5886804237977,195.49615811371697,127.38925397216286,Taurus,1,8,10,2,4,8,10,2,4
Boris Johnson,politician,92.0837254111334,272.0837254111334,88.29293135040972,208.57458933827735,Cancer,3,1,9,7,3,2,10,8,4
Theresa May,politician,240.37508886385297,60.375088863852966,188.27799493581497,152.1859049040732,Sagittarius,8,2,3,8,9,3,4,9,10
Gordon Brown,politician,349.03560486872476,169.0356048687247,331.0430298774344,134.6376386610163,Pisces,11,1,8,7,2,1,8,7,2
John Major,politician,144.0928396887799,324.0928396887799,7.921552145441909,283.471075210181,Leo,4,5,8,11,2,5,8,11,2
Harold Wilson,politician,307.1256582046007,127.12565820460071,350.5971375992873,77.63134784320083,Aquarius,10,11,8,5,2,12,9,6,3
