name,profession,Sun_lon,Sun_sign,Moon_lon,Moon_sign,Mercury_lon,Mercury_sign,Venus_lon,Venus_sign,Mars_lon,Mars_sign,Jupiter_lon,Jupiter_sign,Saturn_lon,Saturn_sign,kmeans_cluster,hier_cluster,kmeans_prof_cluster,PC1,PC2
Scottie Pippen,athlete,182.20094500176626,6,187.10998258288203,6,180.46912652321296,6,223.64583516241018,7,233.86245599321248,7,90.35830492581408,3,342.4231458273257,11,1,0,2,0.3533404645263942,-0.9557932849237037
Tom Brady,athlete,131.02102819185228,4,2.6397852881130803,0,157.79476909765236,5,90.78211817875872,3,71.54707307143201,2,86.87370915031534,2,139.14717388712026,4,0,1,4,-1.3805712691080865,-0.8279275322659962
Joe Montana,athlete,80.51669559927686,2,117.05655410580162,3,60.87694433445079,2,96.74289317268575,3,334.44175212381725,11,145.70719645786633,4,237.95219317186243,7,0,1,7,-1.3154958706075042,0.7498672480359823
Jerry Rice,athlete,199.66967646317997,6,19.34154874689891,0,186.93188016833747,6,235.91068703714942,7,120.79572684009116,4,333.2448661361109,11,304.7731593385965,10,1,0,1,0.3913668726492963,0.4136410158655589
Peyton Manning,athlete,3.975524390109612,0,294.54441530881695,9,355.9024949914422,11,341.66467647323213,11,92.66119655984004,3,29.55705680400341,0,116.03625122693491,3,1,0,6,0.4171308122093846,-1.5055088162384527
Brett Favre,athlete,197.0067616544748,6,186.0372658055768,6,180.23664363258297,6,171.23835126447656,5,282.39187193037475,9,196.54458574134767,6,36.91291642563292,1,1,0,7,0.20350221664864082,1.2024783004959778
John Elway,athlete,96.76967334280535,3,144.5076629318623,4,119.25969674730347,3,98.36901063131064,3,35.89474272391769,1,267.6682663591135,8,285.7692175544876,9,0,0,4,-1.453616999533258,-0.21804023603192613
Dan Marino,athlete,172.4009520594308,5,233.56573629411562,7,195.53188867492074,6,140.14659526737015,4,199.0812694512442,6,297.42538329758025,9,293.35968636464014,9,1,1,5,0.09683600941202142,0.5518622474672156
Aaron Rodgers,athlete,249.7310513585282,8,224.9635774861945,7,267.19964770523313,8,205.20866064846538,6,188.20384252158962,6,259.23079110606767,8,221.02234824117204,7,1,0,5,1.1283871737575892,0.26070499199335856
Patrick Mahomes,athlete,174.12746444738562,5,90.85969872751286,3,199.00141865494436,6,181.60494836730643,6,216.80942398331572,7,248.56341067134758,8,351.1178651570857,11,1,0,1,0.2691467619645883,0.12383870088446718
Drew Brees,athlete,294.74056753833827,9,138.60786831051968,4,279.6280242145616,9,247.91947290375558,8,295.9349081186199,9,125.25275778075667,4,163.51390151921203,5,1,0,2,1.6915671990529333,0.0157193219686759
Walter Payton,athlete,122.0002220402336,4,65.01401033374475,2,102.45292749410295,3,163.84437764328982,5,265.7106992520571,8,103.94422318701882,3,212.9330112788654,7,0,0,4,-0.7843225229334634,0.06518450224531956
Jim Brown,athlete,327.6646433808427,10,258.93600602441677,8,302.94061927890687,10,294.2734186117679,9,356.4011280519404,11,260.3247367644498,8,340.98081092539167,11,1,0,5,2.7243295400219707,0.5032811934370167
Lawrence Taylor,athlete,314.92803705436046,10,273.2083593150057,9,307.94545434296145,10,335.225185468409,11,57.460516530613575,1,239.31393086174043,7,273.2387979144262,9,1,0,3,2.08795006554905,-0.9784103958602417
Deion Sanders,athlete,136.21547396267385,4,181.45919768696825,6,121.00515232045409,4,163.89094839965932,5,220.69338990424035,7,135.68606175799496,4,12.263402650328299,0,0,1,6,-0.7364526957296658,0.6936456582459876
Ray Lewis,athlete,54.04483849111896,1,105.80729774610307,3,75.82428237822188,2,96.35620758392305,3,355.5992418614088,11,13.432081962966953,0,105.23266601369451,3,0,1,7,-1.5664593132552387,0.3959868332481311
Pele,athlete,209.55773049416172,6,105.83097874801088,3,233.7273727865524,7,168.66050329309599,5,191.32582436077146,6,42.08847120009756,1,42.23954396189286,1,1,0,6,0.11795947848231685,-0.46946194123429374
Diego Maradona,athlete,216.86392195474198,7,345.2522199410326,11,233.4964098871062,7,250.4679109687312,8,105.75641092235861,3,270.7279171040137,9,283.39001943794665,9,1,0,5,0.9124205673421206,-0.31065477603942016
Lionel Messi,athlete,92.45814602978714,3,73.24835387815205,2,106.39704336098532,3,76.17117590519113,2,112.19380654377176,3,24.963377677419366,0,256.76063817866213,8,0,1,4,-1.79385805512567,-1.4062729896502595
Cristiano Ronaldo,athlete,316.36075202189164,10,130.85612376064256,4,306.27479062533655,10,2.603071709432957,0,1.8844939071770848,0,299.6733838454585,9,237.35110789359345,7,1,0,3,0.23878997030072702,-0.45998970399039135
Zinedine Zidane,athlete,92.10209456649034,3,235.39949342043107,7,111.69956770726978,3,82.95149082329357,2,116.72270352424982,3,273.62151066316414,9,72.93115635274023,2,0,1,7,-1.4735471666475923,1.004957850459427
David Beckham,athlete,41.23642181441505,1,300.36755952653397,10,55.90733297068746,1,81.36437756004919,2,345.5702989214628,11,10.545052098754416,0,104.04809066920694,3,0,1,0,-1.7240860175863617,0.277715733350646
Ronaldo Nazario,athlete,179.60006859222563,5,161.27191309066978,5,178.7087532647221,5,205.4905181091422,6,199.04896493755794,6,61.19549221108593,2,133.14852496034453,4,1,0,6,-0.03377032319393858,-0.5521396998918897
Neymar Jr,athlete,315.9380655944457,10,334.5724579648899,11,310.9496167097747,10,283.7507462549654,9,290.3304631551216,9,162.5636866271883,5,310.02508753097607,10,1,0,5,2.4123431958489823,-0.47270507972510134
Kylian Mbappe,athlete,268.389702560148,8,286.139701977232,9,246.85533173543442,8,280.9562685843909,9,192.5298220004466,6,350.4191211171143,11,26.845604667449397,0,1,0,5,1.5172016046931838,1.6039220523887825
Erling Haaland,athlete,119.01719875002148,3,353.6504270886576,11,101.10853910491615,3,130.038776782729,4,113.1375404414362,3,64.14279493198168,2,58.60501787786539,1,0,1,6,-1.3096171319829584,-0.5807620989312638
Johan Cruyff,athlete,34.44236331490048,1,92.17823024213062,3,14.275259299875756,0,0.4470236245800852,0,10.48075900096786,0,234.99600229206445,7,122.37392392133768,4,0,1,4,-3.1092273655424334,0.3201557717723793
