year,is_outbreak,outbreak_name,hard_aspect_count,Jupiter-Saturn_angle,Jupiter-Saturn_aspect,Jupiter-Uranus_angle,Jupiter-Uranus_aspect,Jupiter-Neptune_angle,Jupiter-Neptune_aspect,Jupiter-Pluto_angle,Jupiter-Pluto_aspect,Saturn-Uranus_angle,Saturn-Uranus_aspect,Saturn-Neptune_angle,Saturn-Neptune_aspect,Saturn-Pluto_angle,Saturn-Pluto_aspect,Uranus-Neptune_angle,Uranus-Neptune_aspect,Uranus-Pluto_angle,Uranus-Pluto_aspect,Neptune-Pluto_angle,Neptune-Pluto_aspect
1977,False,None,2,55.269746219073625,None,137.90476391025572,None,174.2229447037305,Opposition,111.55000378592288,None,82.6350176911821,Square,118.95319848465687,None,56.28025756684926,None,36.31818079347477,None,26.35476012433284,None,62.67294091780761,None
1978,False,None,1,41.46203857301994,None,116.674139162283,None,150.52475261026774,None,88.10284765276604,Square,75.21210058926306,None,109.06271403724779,None,46.640809079746106,None,33.85061344798473,None,28.571291509516954,None,62.42190495750168,None
1979,False,None,1,28.49861513385781,None,96.30564218847823,Square,127.6973554358014,None,65.5521585976305,None,67.80702705462042,None,99.19874030194359,None,37.053543463772684,None,31.391713247323167,None,30.753483590847736,None,62.145196838170904,None
1980,False,None,1,15.398029391754761,None,75.723666295685,None,104.66675837214703,None,42.84688524373439,None,60.325636903930246,None,89.26872898039227,Square,27.44885585197963,None,28.943092076462023,None,32.876781051950616,None,61.81987312841264,None
1981,True,HIV/AIDS Emergence,1,1.3946919045293669,Conjunction,54.339796724926174,None,80.85424200158707,None,19.35154558665414,None,52.94510482039681,None,79.4595500970577,None,17.956853682124773,None,26.514445276660894,None,34.988251138272034,None,61.50269641493293,None
1982,False,None,1,14.8176623076549,None,30.725885411060432,None,54.82981680152298,None,6.3389026896638825,Conjunction,45.54354771871533,None,69.64747910917788,None,8.478759617991017,None,24.10393139046255,None,37.064788100724314,None,61.16871949118686,None
1983,False,None,2,34.4953521926808,None,3.609918155887584,Conjunction,25.32441999918592,None,35.49709722595509,None,38.10527034856838,None,59.81977219186672,None,1.0017450332742897,Conjunction,21.714501843298336,None,39.10701538184267,None,60.82151722514101,None
1984,False,None,0,58.02811200649748,None,27.424148724036655,None,8.067650639229214,None,68.50915914789931,None,30.603963282460825,None,49.960461367268266,None,10.481047141401831,None,19.35649808480744,None,41.085010423862656,None,60.4415085086701,None
1985,False,None,1,83.92630014629458,Square,60.84839471696466,None,43.830247519764896,None,103.90605648761061,None,23.077905429329917,None,40.09605262652968,None,19.979756341316033,None,17.018147197199767,None,43.05766177064595,None,60.07580896784572,None
1986,False,None,1,108.55754131152705,None,93.06713717801358,Square,78.35982890392216,None,138.06333964170182,None,15.490404133513465,None,30.197712407604882,None,29.50579833017477,None,14.707308274091417,None,44.996202463688235,None,59.70351073777965,None
1987,False,None,1,129.7178389903168,None,121.87880860490145,None,109.45332867091872,None,168.77902739804887,None,7.839030385415356,Conjunction,20.264510319398084,None,39.06118840773206,None,12.425479933982729,None,46.90021879314742,None,59.325698727130145,None
1988,False,None,1,147.71082552864002,None,147.55607040347658,None,137.37005781186528,None,163.70233823588484,None,0.15475512516343315,Conjunction,10.340767716774735,None,48.58683623547515,None,10.186012591611302,None,48.74159136063858,None,58.92760395224988,None
1989,False,None,3,162.90002529472102,None,170.5221122913541,None,162.55731872621234,None,138.89680042597973,None,7.622086996633072,Conjunction,0.34270656850867454,Conjunction,58.20317427929925,None,7.964793565141747,Conjunction,50.581087282666175,None,58.54588084780792,None
1990,False,None,3,176.4285366773911,Opposition,168.10977273387925,None,173.88401691926305,Opposition,115.71926031440529,None,15.461690588729653,None,9.68744640334586,None,67.85220300820362,None,5.774244185383793,Conjunction,52.390512419473964,None,58.16475660485776,None
1991,False,None,2,170.83506035248155,None,147.4748077625016,None,151.08909021746098,None,93.30105441106545,Square,23.36025258997995,None,19.74597013502057,None,77.5340059414161,None,3.6142824549593797,Conjunction,54.17375335143615,None,57.78803580639553,None
1992,False,None,2,157.78308562820683,None,126.48228940022614,None,127.98103958368927,None,70.57310115103374,None,31.300796227980697,None,29.802046044517567,None,87.2099844771731,Square,1.4987501834631303,Conjunction,55.9091882491924,None,57.40793843265553,None
1993,False,None,2,143.8630286449464,None,104.5511707652553,None,103.95178151692957,None,46.90057132518774,None,39.311857879691104,None,39.91124712801684,None,96.96245731975867,Square,0.5993892483257355,Conjunction,57.650599440067566,None,57.05121019174183,None
1994,False,None,1,127.57703972391559,None,80.21309475474206,None,77.54645577834972,None,20.837455589386224,None,47.36394496917353,None,50.030583945565866,None,106.73958413452937,None,2.666638976392335,Conjunction,59.375639165355835,None,56.7090001889635,None
1995,False,None,1,107.67004569144524,None,52.22114440279381,None,47.518259067584154,None,8.865782639913135,None,55.44890128865143,None,60.151786623861085,None,116.53582833135837,None,4.702885335209658,Conjunction,61.08692704270695,None,56.38404170749729,None
1996,False,None,2,83.99874356377222,Square,20.37512445262172,None,13.676279708757875,None,42.396848611469096,None,63.623619111150504,None,70.32246385501435,None,126.39559217524132,None,6.6988447438638445,Conjunction,62.771973064090815,None,56.07312832022697,None
1997,False,None,0,58.323827053026605,None,13.448648525338399,None,22.124565526342167,None,77.91598528660114,None,71.772475578365,None,80.44839257936877,None,136.23981233962775,None,8.675917001003768,None,64.46733676126274,None,55.791419760258975,None
1998,False,None,1,34.29770846720959,None,45.63568694674217,None,56.258960826866655,None,111.79169662348784,None,79.93339541395176,None,90.55666929407624,Square,146.0894050906974,None,10.623273880124486,None,66.15600967674567,None,55.53273579662118,None
1999,False,None,2,13.781931489032662,None,74.31762121712978,None,86.85936315848204,Square,142.15723376917404,None,88.09955270616246,Square,100.64129464751471,None,155.93916525820669,None,12.541741941352257,None,67.83961255204423,None,55.29787061069197,None
2000,False,None,2,3.5513130711614167,Conjunction,99.95320851694936,None,114.38156889941905,None,169.46794963133956,None,96.40189544578794,Square,110.83025582825763,None,165.91663656017815,None,14.428360382469691,None,69.5147411143902,None,55.086380731920514,None
2001,False,None,1,18.406867311519093,None,122.9919551602598,None,139.28438635646967,None,165.8149743031458,None,104.58508784874073,None,120.87751904495059,None,175.77815838533513,Opposition,16.29243119620986,None,71.1930705365944,None,54.900639340384544,None
2002,True,SARS (Early),1,31.76294212545946,None,144.5325937401159,None,162.66270968799788,None,142.59768360394162,None,112.76965161465645,None,130.89976756253841,None,174.36062572940108,Opposition,18.13011594788196,None,72.86972265594247,None,54.739606708060506,None
2003,True,SARS,1,44.49265880496425,None,165.44592437450413,None,174.61130748438538,Opposition,120.00705439222455,None,120.9532655695399,None,140.89603371065039,None,164.49971319718878,None,19.94276814111049,None,74.54702123327132,None,54.60425309216083,None
2004,False,None,2,57.529364472073595,None,173.19634147275215,Opposition,151.45953763874283,None,96.9602072514044,Square,129.27429405517427,None,151.0110978891836,None,154.48957172347798,None,21.736803834009322,None,76.23613422134775,None,54.49933038733843,None
2005,False,None,0,71.84453250145228,None,150.72361342321398,None,127.21678074897505,None,72.7967427942666,None,137.43185407533375,None,160.93868674957267,None,144.64127529571888,None,23.50683267423892,None,77.92687062894737,None,54.42003795470845,None
