date,total_ed_visits
2022-09-24,9152
2022-09-25,8821
2022-09-26,11191
2022-09-27,10629
2022-09-28,10764
2022-09-29,10380
2022-09-30,10087
2022-10-01,8657
2022-10-02,8331
2022-10-03,10784
2022-10-04,10136
2022-10-05,10391
2022-10-06,11979
2022-10-07,11875
2022-10-08,9275
2022-10-09,8911
2022-10-10,11035
2022-10-11,11739
2022-10-12,11201
2022-10-13,10787
2022-10-14,10670
2022-10-15,9520
2022-10-16,9189
2022-10-17,12135
2022-10-18,11268
2022-10-19,9326
2022-10-20,10098
2022-10-21,10877
2022-10-22,9529
2022-10-23,9276
2022-10-24,12127
2022-10-25,11851
2022-10-26,11964
2022-10-27,11178
2022-10-28,10668
2022-10-29,9718
2022-10-30,9670
2022-10-31,11905
2022-11-01,12424
2022-11-02,12284
2022-11-03,11930
2022-11-04,12016
2022-11-05,10640
2022-11-06,10920
2022-11-07,13315
2022-11-08,11630
2022-11-09,11750
2022-11-10,11466
2022-11-11,10583
2022-11-12,10532
2022-11-13,10057
2022-11-14,12591
2022-11-15,11506
2022-11-16,11149
2022-11-17,11068
2022-11-18,10714
2022-11-19,9408
2022-11-20,9327
2022-11-21,11693
2022-11-22,11211
2022-11-23,10440
2022-11-24,8192
2022-11-25,11342
2022-11-26,10804
2022-11-27,10737
2022-11-28,13501
2022-11-29,12331
2022-11-30,11542
2022-12-01,11260
2022-12-02,11306
2022-12-03,10102
